MOUNT
WRITE 0 666 102
READ 110853 281 0
WRITE 110853 158 248
WRITE 111011 346 145
READ 637669 484 0
WRITE 637669 505 18
WRITE 638174 603 64
WRITE 638777 551 123
READ 186620 660 0
WRITE 186620 400 76
READ 685309 790 0
WRITE 685309 573 49
READ 627038 451 0
WRITE 627038 752 240
WRITE 627790 675 94
READ 536668 266 0
WRITE 536668 585 128
WRITE 537253 577 250
WRITE 537830 315 14
WRITE 538145 221 7
READ 796571 312 0
WRITE 796571 641 70
WRITE 797212 435 165
READ 212794 628 0
WRITE 212794 781 112
WRITE 213575 664 197
READ 548174 571 0
WRITE 548174 655 22
READ 347214 854 0
WRITE 347214 913 140
WRITE 348127 980 78
WRITE 349107 1003 166
READ 966745 764 0
WRITE 966745 148 46
WRITE 966893 562 166
WRITE 967455 363 235
WRITE 967818 641 182
WRITE 968459 854 227
READ 103735 445 0
WRITE 103735 695 120
WRITE 104430 538 65
WRITE 104968 425 206
READ 317899 685 0
WRITE 317899 777 246
WRITE 318676 513 141
WRITE 319189 1018 177
WRITE 320207 31 118
WRITE 320238 334 64
WRITE 320572 780 154
READ 284875 273 0
WRITE 284875 70 12
WRITE 284945 369 170
READ 803328 26 0
WRITE 803328 479 94
WRITE 803807 966 132
WRITE 804773 314 227
READ 643257 408 0
WRITE 643257 158 213
READ 472792 995 0
WRITE 472792 617 192
READ 935009 1002 0
WRITE 935009 373 19
READ 243827 232 0
WRITE 243827 84 74
READ 714663 781 0
WRITE 714663 821 35
WRITE 715484 706 44
READ 7977 758 0
WRITE 7977 713 200
WRITE 8690 137 183
WRITE 8827 840 223
WRITE 9667 969 69
READ 759176 312 0
WRITE 759176 597 79
READ 917071 731 0
WRITE 917071 843 157
WRITE 917914 838 97
WRITE 918752 135 121
WRITE 918887 135 78
READ 287154 736 0
WRITE 287154 628 249
WRITE 287782 346 163
WRITE 288128 375 148
READ 331732 320 0
WRITE 331732 720 230
WRITE 332452 809 116
WRITE 333261 945 251
WRITE 334206 621 117
READ 116558 829 0
WRITE 116558 545 86
WRITE 117103 356 81
WRITE 117459 57 161
