MOUNT
READ 524035 828 0
READ 523822 834 0
READ 523568 968 0
WRITE 524074 552 202
WRITE 524581 903 9
READ 524681 951 0
WRITE 524329 380 162
WRITE 524573 43 234
READ 525046 303 0
WRITE 525537 11 251
READ 525848 776 0
WRITE 525863 47 185
WRITE 526192 774 92
READ 526455 369 0
READ 526361 595 0
WRITE 526790 323 171
WRITE 526406 306 18
READ 526429 548 0
WRITE 526809 541 125
READ 526972 607 0
READ 527432 161 0
WRITE 527680 172 165
WRITE 528183 1011 133
READ 527785 56 0
WRITE 527510 261 66
READ 527995 526 0
WRITE 527836 69 57
WRITE 527693 153 31
WRITE 527791 476 56
WRITE 527436 136 249
WRITE 527405 299 71
READ 527728 955 0
READ 528143 814 0
READ 528108 216 0
WRITE 528548 834 78
WRITE 528935 491 185
READ 529349 589 0
READ 528936 815 0
READ 529371 79 0
WRITE 529397 872 37
READ 529010 725 0
READ 528930 878 0
WRITE 529166 286 144
READ 529413 60 0
READ 529670 856 0
WRITE 529901 321 37
READ 530272 115 0
READ 530146 915 0
WRITE 529777 1000 168
READ 529281 814 0
WRITE 529421 460 198
WRITE 529422 738 206
READ 528983 29 0
WRITE 528921 367 189
READ 529391 78 0
WRITE 529185 817 114
READ 528769 77 0
READ 528471 23 0
WRITE 528334 1018 182
WRITE 528496 367 89
WRITE 528961 152 88
WRITE 529021 741 223
WRITE 529468 272 99
READ 529019 38 0
READ 529499 649 0
READ 529048 958 0
READ 528695 236 0
WRITE 528837 942 193
READ 528437 201 0
WRITE 528448 828 129
WRITE 528413 543 16
READ 528283 858 0
WRITE 528487 101 81
READ 528671 929 0
WRITE 528441 667 176
READ 528879 561 0
WRITE 529327 912 110
READ 529073 121 0
READ 528718 862 0
WRITE 529196 390 141
WRITE 528714 197 218
READ 529067 2 0
WRITE 529285 157 167
READ 529572 850 0
READ 529729 261 0
WRITE 529820 822 182
READ 530219 251 0
WRITE 530337 304 237
WRITE 530233 96 184
READ 530300 254 0
WRITE 530768 650 161
READ 530605 395 0
READ 530702 120 0
READ 530637 193 0
READ 530347 273 0
READ 530102 392 0
WRITE 529654 471 210
READ 529188 176 0
WRITE 529643 513 168
WRITE 529577 386 223
WRITE 529643 782 210
READ 529803 398 0
READ 530009 553 0
READ 530395 676 0
READ 530087 916 0
READ 530577 374 0
READ 530948 816 0
WRITE 531120 702 52
READ 530741 631 0
WRITE 530799 815 30
READ 530660 955 0
WRITE 530821 446 157
WRITE 530964 981 118
READ 530705 390 0
WRITE 530757 135 3
READ 530382 5 0
WRITE 530667 116 73
READ 530599 465 0
WRITE 531105 846 245
READ 531358 993 0
READ 531456 797 0
READ 531109 77 0
READ 531586 544 0
WRITE 532073 308 12
READ 532500 269 0
READ 532434 281 0
WRITE 532682 947 190
READ 532354 427 0
WRITE 532857 363 138
WRITE 532614 990 181
READ 532410 502 0
WRITE 532287 444 165
WRITE 532017 377 224
WRITE 531591 68 222
WRITE 531553 35 19
WRITE 531345 398 210
READ 530946 126 0
READ 530612 929 0
WRITE 531083 486 238
READ 531342 889 0
READ 530849 882 0
READ 530775 778 0
WRITE 530494 724 186
WRITE 530359 683 21
READ 530700 1000 0
WRITE 530444 727 89
READ 529968 765 0
READ 529698 413 0
READ 529499 614 0
READ 529008 968 0
READ 528915 268 0
WRITE 529163 365 164
WRITE 528743 154 197
READ 528720 189 0
WRITE 529174 954 194
READ 528778 870 0
WRITE 528488 76 180
READ 528446 563 0
READ 528681 1024 0
READ 528746 597 0
WRITE 529108 983 104
WRITE 529128 841 208
WRITE 529080 660 247
WRITE 529485 49 148
WRITE 529624 747 56
READ 529539 361 0
WRITE 529522 438 164
WRITE 529146 692 210
WRITE 528826 378 163
WRITE 528348 421 22
READ 528017 561 0
READ 528413 959 0
WRITE 528781 339 255
WRITE 528328 315 195
WRITE 528617 129 28
READ 528289 928 0
WRITE 528151 752 139
WRITE 528444 433 20
READ 528017 522 0
WRITE 528075 754 135
WRITE 528103 205 92
WRITE 528217 643 137
READ 527795 328 0
WRITE 527626 698 140
READ 527575 540 0
READ 527953 306 0
READ 528355 734 0
WRITE 528271 296 36
READ 528520 174 0
WRITE 528116 617 63
READ 528022 807 0
WRITE 528069 405 159
WRITE 528266 734 88
READ 528133 257 0
WRITE 528580 550 246
READ 528910 127 0
READ 529389 821 0
WRITE 529839 209 228
WRITE 529766 390 181
WRITE 529341 316 80
READ 529038 883 0
WRITE 528647 557 171
READ 528511 994 0
WRITE 528345 231 68
WRITE 528213 882 149
READ 528094 772 0
READ 528267 31 0
READ 528117 454 0
READ 528398 502 0
READ 528230 592 0
WRITE 528140 260 245
WRITE 527787 699 136
READ 527667 187 0
READ 527981 175 0
READ 527692 69 0
READ 527779 357 0
READ 527518 964 0
WRITE 527955 651 133
READ 528398 386 0
READ 528367 325 0
READ 528001 596 0
WRITE 527793 650 83
READ 528041 866 0
READ 528550 225 0
WRITE 528552 88 135
READ 528301 514 0
READ 528377 309 0
READ 528271 223 0
WRITE 528341 125 77
READ 528761 677 0
READ 528836 252 0
WRITE 528622 919 17
READ 528795 83 0
READ 528534 205 0
WRITE 528203 951 37
READ 528148 462 0
READ 527891 432 0
WRITE 527714 308 219
WRITE 527555 561 34
READ 527258 275 0
WRITE 527097 908 170
WRITE 526875 3 159
READ 526797 815 0
READ 526981 326 0
READ 527324 634 0
READ 527463 716 0
WRITE 527642 237 143
READ 527283 597 0
WRITE 526825 692 102
WRITE 526447 578 142
WRITE 526924 916 17
WRITE 526521 376 129
READ 526878 707 0
READ 527325 263 0
READ 527827 85 0
READ 527614 618 0
WRITE 527926 139 14
WRITE 528280 501 240
READ 528735 241 0
READ 528864 778 0
READ 529307 533 0
READ 529649 745 0
WRITE 529815 724 203
READ 529606 209 0
READ 529515 903 0
WRITE 529278 826 127
READ 529550 895 0
READ 529761 99 0
WRITE 530027 957 77
READ 529569 690 0
READ 529723 472 0
WRITE 529479 788 66
WRITE 529745 296 121
READ 529339 87 0
READ 528863 289 0
WRITE 528803 178 4
WRITE 529118 137 204
READ 529297 182 0
READ 529214 688 0
WRITE 528837 886 57
READ 528476 519 0
READ 528237 385 0
READ 528305 849 0
READ 528477 162 0
READ 528411 18 0
WRITE 528920 412 193
READ 528787 189 0
READ 529127 713 0
READ 529216 611 0
READ 529040 152 0
READ 529015 12 0
WRITE 528844 484 121
READ 528820 54 0
WRITE 528854 72 252
WRITE 528918 361 108
READ 529241 262 0
WRITE 529272 786 137
WRITE 529736 747 211
WRITE 530091 587 201
WRITE 530496 615 19
READ 530984 506 0
READ 531490 638 0
WRITE 531687 252 251
READ 532138 189 0
WRITE 531743 996 180
WRITE 531499 602 148
